Index: 140, Mean: 39.459686279296875, Std: 8617.681640625
Index: 141, Mean: 39.44868850708008, Std: 8613.662109375
Index: 142, Mean: 39.51010513305664, Std: 8627.306640625
Index: 143, Mean: 39.47971725463867, Std: 8620.75390625
Index: 144, Mean: 39.359981536865234, Std: 8590.4140625
Index: 145, Mean: 39.32548904418945, Std: 8581.279296875
Index: 146, Mean: 39.48348617553711, Std: 8621.3037109375
Index: 147, Mean: 39.67222595214844, Std: 8669.169921875
Index: 148, Mean: 39.71690368652344, Std: 8681.15234375
Index: 149, Mean: 39.69514846801758, Std: 8676.880859375
Index: 150, Mean: 39.68839645385742, Std: 8675.3271484375
Index: 151, Mean: 39.915035247802734, Std: 8733.677734375
Index: 152, Mean: 39.95954132080078, Std: 8745.7626953125
Index: 153, Mean: 39.932838439941406, Std: 8737.365234375
Index: 154, Mean: 39.822654724121094, Std: 8709.7763671875
Index: 155, Mean: 39.86606216430664, Std: 8720.849609375
Index: 156, Mean: 39.888282775878906, Std: 8725.447265625
Index: 157, Mean: 39.87477111816406, Std: 8722.3701171875
Index: 158, Mean: 39.973045349121094, Std: 8745.6064453125
Index: 159, Mean: 39.915584564208984, Std: 8732.169921875
Index: 160, Mean: 39.93265914916992, Std: 8734.7919921875
Index: 161, Mean: 39.98445129394531, Std: 8746.0244140625
Index: 162, Mean: 40.20431137084961, Std: 8803.9296875
Index: 163, Mean: 40.16767120361328, Std: 8794.3798828125
Index: 164, Mean: 40.14365768432617, Std: 8787.45703125
Index: 165, Mean: 40.04926681518555, Std: 8763.376953125
Index: 166, Mean: 40.002838134765625, Std: 8750.6220703125
Index: 167, Mean: 39.94295883178711, Std: 8734.5888671875
Index: 168, Mean: 39.94697952270508, Std: 8733.986328125
Index: 169, Mean: 39.9259147644043, Std: 8728.798828125
Index: 170, Mean: 39.940277099609375, Std: 8732.814453125
Index: 171, Mean: 39.995086669921875, Std: 8748.408203125
Index: 172, Mean: 40.01314926147461, Std: 8751.375
Index: 173, Mean: 39.989952087402344, Std: 8745.37109375
Index: 174, Mean: 39.988975524902344, Std: 8746.255859375
Index: 175, Mean: 40.18525695800781, Std: 8798.3359375
Index: 176, Mean: 40.08186721801758, Std: 8773.0869140625
Index: 177, Mean: 40.07442092895508, Std: 8770.7861328125
Index: 178, Mean: 40.03190612792969, Std: 8760.6083984375
Index: 179, Mean: 40.01380157470703, Std: 8756.8310546875
Index: 180, Mean: 40.01016616821289, Std: 8755.50390625
Index: 181, Mean: 39.942996978759766, Std: 8738.08984375
Index: 182, Mean: 39.972129821777344, Std: 8744.7177734375
Index: 183, Mean: 39.87572479248047, Std: 8721.3681640625
Index: 184, Mean: 39.897499084472656, Std: 8727.3623046875
Index: 185, Mean: 39.87014389038086, Std: 8720.7685546875
Index: 186, Mean: 40.0358772277832, Std: 8763.8232421875
Index: 187, Mean: 39.995792388916016, Std: 8754.5283203125
Index: 188, Mean: 39.97285842895508, Std: 8749.2880859375
Index: 189, Mean: 40.08015060424805, Std: 8774.94921875
Index: 190, Mean: 40.045196533203125, Std: 8765.8037109375
Index: 191, Mean: 40.07511520385742, Std: 8772.8251953125
Index: 192, Mean: 40.05757522583008, Std: 8769.1875
Index: 193, Mean: 40.01094055175781, Std: 8756.3955078125
Index: 194, Mean: 40.010101318359375, Std: 8756.4873046875
Index: 195, Mean: 39.97948455810547, Std: 8748.7060546875
Index: 196, Mean: 39.96980667114258, Std: 8746.35546875
Index: 197, Mean: 39.8956298828125, Std: 8726.7333984375
Index: 198, Mean: 39.86488342285156, Std: 8718.9150390625
Index: 199, Mean: 39.93891143798828, Std: 8736.9375
Index: 200, Mean: 39.95830154418945, Std: 8742.6767578125
Index: 201, Mean: 39.93846130371094, Std: 8736.77734375
Index: 202, Mean: 40.042198181152344, Std: 8764.990234375
Index: 203, Mean: 39.9939079284668, Std: 8752.1328125
Index: 204, Mean: 40.01300811767578, Std: 8756.3505859375
Index: 205, Mean: 40.011695861816406, Std: 8755.9853515625
Index: 206, Mean: 40.046478271484375, Std: 8765.703125
Index: 207, Mean: 40.08544921875, Std: 8774.572265625
Index: 208, Mean: 40.211971282958984, Std: 8808.9912109375
Index: 209, Mean: 40.156551361083984, Std: 8794.3076171875
Index: 210, Mean: 40.23601531982422, Std: 8814.560546875
Index: 211, Mean: 40.1787109375, Std: 8799.443359375
Index: 212, Mean: 40.18523406982422, Std: 8801.603515625
Index: 213, Mean: 40.18476486206055, Std: 8800.265625
Index: 214, Mean: 40.17485427856445, Std: 8798.34765625
Index: 215, Mean: 40.09431076049805, Std: 8777.3701171875
Index: 216, Mean: 40.11363983154297, Std: 8783.443359375
Index: 217, Mean: 40.107994079589844, Std: 8782.3369140625
Index: 218, Mean: 40.25480651855469, Std: 8819.8740234375
Index: 219, Mean: 40.26403045654297, Std: 8822.4931640625
Index: 220, Mean: 40.236907958984375, Std: 8816.791015625
Index: 221, Mean: 40.24064254760742, Std: 8816.7841796875
Index: 222, Mean: 40.27402877807617, Std: 8824.8017578125
Index: 223, Mean: 40.33573532104492, Std: 8839.7607421875
Index: 224, Mean: 40.26959991455078, Std: 8822.7998046875
Index: 225, Mean: 40.199737548828125, Std: 8805.2939453125
Index: 226, Mean: 40.177330017089844, Std: 8799.9541015625
Index: 227, Mean: 40.192264556884766, Std: 8803.9345703125
Index: 228, Mean: 40.135459899902344, Std: 8789.9423828125
Index: 229, Mean: 40.14090347290039, Std: 8791.283203125
Index: 230, Mean: 40.073150634765625, Std: 8774.6982421875
Index: 231, Mean: 40.098392486572266, Std: 8781.0390625
Index: 232, Mean: 40.02302932739258, Std: 8762.2294921875
Index: 233, Mean: 40.03084182739258, Std: 8764.783203125
Index: 234, Mean: 40.01738739013672, Std: 8761.091796875
Index: 235, Mean: 40.0087890625, Std: 8761.03515625
Index: 236, Mean: 40.03594207763672, Std: 8769.5498046875
Index: 237, Mean: 40.00991439819336, Std: 8762.8974609375
Index: 238, Mean: 39.97894287109375, Std: 8754.75390625
Index: 239, Mean: 39.89906311035156, Std: 8735.509765625
Index: 240, Mean: 39.9106559753418, Std: 8738.3408203125
Index: 241, Mean: 39.88648223876953, Std: 8732.359375
Index: 242, Mean: 39.91273498535156, Std: 8739.2255859375
Index: 243, Mean: 39.88397216796875, Std: 8732.4833984375
Index: 244, Mean: 39.850677490234375, Std: 8724.5966796875
Index: 245, Mean: 39.879512786865234, Std: 8732.384765625
Index: 246, Mean: 39.900108337402344, Std: 8737.078125
Index: 247, Mean: 39.922183990478516, Std: 8742.0078125
Index: 248, Mean: 39.91640090942383, Std: 8740.974609375
Index: 249, Mean: 39.95304870605469, Std: 8750.5400390625
Index: 250, Mean: 39.96532440185547, Std: 8755.0322265625
Index: 251, Mean: 39.947357177734375, Std: 8750.0361328125
Index: 252, Mean: 39.91492462158203, Std: 8741.5625
Index: 253, Mean: 39.88998794555664, Std: 8735.1640625
Index: 254, Mean: 39.87229537963867, Std: 8731.2216796875
Index: 255, Mean: 39.84280776977539, Std: 8723.466796875
Index: 256, Mean: 39.8701057434082, Std: 8730.8759765625
Index: 257, Mean: 39.90159225463867, Std: 8740.287109375
Index: 258, Mean: 39.854339599609375, Std: 8728.5234375
Index: 259, Mean: 39.846099853515625, Std: 8726.6630859375
Index: 260, Mean: 39.835689544677734, Std: 8723.8125
Index: 261, Mean: 39.82246780395508, Std: 8720.9814453125
Index: 262, Mean: 39.80023956298828, Std: 8714.4365234375
Index: 263, Mean: 39.81161880493164, Std: 8717.744140625
Index: 264, Mean: 39.75959396362305, Std: 8704.2802734375
Index: 265, Mean: 39.743629455566406, Std: 8699.68359375
Index: 266, Mean: 39.7606086730957, Std: 8703.7685546875
Index: 267, Mean: 39.79440689086914, Std: 8712.4951171875
Index: 268, Mean: 39.72816467285156, Std: 8695.349609375
Index: 269, Mean: 39.732852935791016, Std: 8696.646484375
Index: 270, Mean: 39.76429748535156, Std: 8704.2470703125
Index: 271, Mean: 39.80912780761719, Std: 8714.970703125
Index: 272, Mean: 39.774803161621094, Std: 8706.0498046875
Index: 273, Mean: 39.838382720947266, Std: 8720.537109375
Index: 274, Mean: 39.80775451660156, Std: 8712.9609375
Index: 275, Mean: 39.731658935546875, Std: 8693.36328125
Index: 276, Mean: 39.68893051147461, Std: 8683.5869140625
Index: 277, Mean: 39.64582443237305, Std: 8672.99609375
Index: 278, Mean: 39.644386291503906, Std: 8672.8994140625
